trec_topic_number,trec_doc_id,pm_rel_desc,disease_desc,gene1_annotation_desc,gene1_name,gene2_annotation_desc,gene2_name,gene3_annotation_desc,gene3_name,demographics_desc,other_desc
1,NCT00001188,Not PM,,,,,,,,,
1,NCT00001189,Not PM,,,,,,,,,
1,NCT00002185,Not PM,,,,,,,,,
1,NCT00002466,Not PM,,,,,,,,,
1,NCT00002641,Not PM,,,,,,,,,
1,NCT00002764,Not PM,,,,,,,,,
1,NCT00002804,Not PM,,,,,,,,,
1,NCT00002822,Not PM,,,,,,,,,
1,NCT00002863,Not PM,,,,,,,,,
1,NCT00002898,Not PM,,,,,,,,,
1,NCT00003023,Not PM,,,,,,,,,
1,NCT00003052,Not PM,,,,,,,,,
1,NCT00003058,Not PM,,,,,,,,,
1,NCT00003212,Not PM,,,,,,,,,
1,NCT00003521,Not PM,,,,,,,,,
1,NCT00003718,Not PM,,,,,,,,,
1,NCT00003893,Not PM,,,,,,,,,
1,NCT00003939,Not PM,,,,,,,,,
1,NCT00004110,Not PM,,,,,,,,,
1,NCT00004123,Not PM,,,,,,,,,
1,NCT00004180,Not PM,,,,,,,,,
1,NCT00006260,Not PM,,,,,,,,,
1,NCT00006357,Not PM,,,,,,,,,
1,NCT00013416,Not PM,,,,,,,,,
1,NCT00026910,Not PM,,,,,,,,,
1,NCT00030784,Not PM,,,,,,,,,
1,NCT00039182,Not PM,,,,,,,,,
1,NCT00054496,Not PM,,,,,,,,,
1,NCT00060944,Not PM,,,,,,,,,
1,NCT00061984,Not PM,,,,,,,,,
1,NCT00069940,Not PM,,,,,,,,,
1,NCT00072358,Not PM,,,,,,,,,
1,NCT00075439,Not PM,,,,,,,,,
1,NCT00089245,Not PM,,,,,,,,,
1,NCT00089258,Not PM,,,,,,,,,
1,NCT00093080,Not PM,,,,,,,,,
1,NCT00102609,Not PM,,,,,,,,,
1,NCT00132496,Not PM,,,,,,,,,
1,NCT00132704,Not PM,,,,,,,,,
1,NCT00141297,Not PM,,,,,,,,,
1,NCT00155805,Not PM,,,,,,,,,
1,NCT00162812,Not PM,,,,,,,,,
1,NCT00164021,Not PM,,,,,,,,,
1,NCT00167024,Not PM,,,,,,,,,
1,NCT00173732,Not PM,,,,,,,,,
1,NCT00216034,Not PM,,,,,,,,,
1,NCT00229086,Not PM,,,,,,,,,
1,NCT00233948,Not PM,,,,,,,,,
1,NCT00235677,Not PM,,,,,,,,,
1,NCT00242736,Not PM,,,,,,,,,
1,NCT00252096,Not PM,,,,,,,,,
1,NCT00259012,Not PM,,,,,,,,,
1,NCT00304083,Not PM,,,,,,,,,
1,NCT00336219,Not PM,,,,,,,,,
1,NCT00339404,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT00346008,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT00346164,Not PM,,,,,,,,,
1,NCT00362609,Not PM,,,,,,,,,
1,NCT00365300,Not PM,,,,,,,,,
1,NCT00367614,Not PM,,,,,,,,,
1,NCT00400569,Not PM,,,,,,,,,
1,NCT00408018,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT00410592,Not PM,,,,,,,,,
1,NCT00413192,Not PM,,,,,,,,,
1,NCT00414856,Not PM,,,,,,,,,
1,NCT00422188,Not PM,,,,,,,,,
1,NCT00427635,Not PM,,,,,,,,,
1,NCT00444275,Not PM,,,,,,,,,
1,NCT00445783,Human PM,More General,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT00445965,Not PM,,,,,,,,,
1,NCT00450593,Not PM,,,,,,,,,
1,NCT00468559,Not PM,,,,,,,,,
1,NCT00481949,Not PM,,,,,,,,,
1,NCT00489528,Not PM,,,,,,,,,
1,NCT00493181,Not PM,,,,,,,,,
1,NCT00497107,Not PM,,,,,,,,,
1,NCT00499421,Not PM,,,,,,,,,
1,NCT00502411,Not PM,,,,,,,,,
1,NCT00503321,Not PM,,,,,,,,,
1,NCT00507377,Not PM,,,,,,,,,
1,NCT00518505,Not PM,,,,,,,,,
1,NCT00545883,Not PM,,,,,,,,,
1,NCT00557401,Not PM,,,,,,,,,
1,NCT00564590,Not PM,,,,,,,,,
1,NCT00567619,Not PM,,,,,,,,,
1,NCT00577889,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT00578864,Not PM,,,,,,,,,
1,NCT00579410,Not PM,,,,,,,,,
1,NCT00579501,Not PM,,,,,,,,,
1,NCT00579683,Not PM,,,,,,,,,
1,NCT00580281,Not PM,,,,,,,,,
1,NCT00591500,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT00591877,Not PM,,,,,,,,,
1,NCT00608842,Not PM,,,,,,,,,
1,NCT00611078,Not PM,,,,,,,,,
1,NCT00624416,Not PM,,,,,,,,,
1,NCT00628342,Not PM,,,,,,,,,
1,NCT00633165,Not PM,,,,,,,,,
1,NCT00642941,Not PM,,,,,,,,,
1,NCT00645632,Not PM,,,,,,,,,
1,NCT00655499,Not PM,,,,,,,,,
1,NCT00659360,Not PM,,,,,,,,,
1,NCT00660660,Not PM,,,,,,,,,
1,NCT00674245,Not PM,,,,,,,,,
1,NCT00681005,Not PM,,,,,,,,,
1,NCT00687843,Not PM,,,,,,,,,
1,NCT00688675,Not PM,,,,,,,,,
1,NCT00695838,Not PM,,,,,,,,,
1,NCT00698178,Not PM,,,,,,,,,
1,NCT00702533,Not PM,,,,,,,,,
1,NCT00734747,Not PM,,,,,,,,,
1,NCT00744419,Not PM,,,,,,,,,
1,NCT00768196,Not PM,,,,,,,,,
1,NCT00810485,Not PM,,,,,,,,,
1,NCT00810719,Not PM,,,,,,,,,
1,NCT00833573,Not PM,,,,,,,,,
1,NCT00843050,Human PM,Not Disease,Exact,CDK4 Amplification,,,,,Matches,Not Discussed
1,NCT00847691,Not PM,,,,,,,,,
1,NCT00855361,Not PM,,,,,,,,,
1,NCT00883701,Not PM,,,,,,,,,
1,NCT00884247,Not PM,,,,,,,,,
1,NCT00890032,Not PM,,,,,,,,,
1,NCT00914537,Not PM,,,,,,,,,
1,NCT00944580,Not PM,,,,,,,,,
1,NCT00951093,Not PM,,,,,,,,,
1,NCT00963144,Not PM,,,,,,,,,
1,NCT00969917,Not PM,,,,,,,,,
1,NCT00992589,Not PM,,,,,,,,,
1,NCT01024413,Not PM,,,,,,,,,
1,NCT01025739,Not PM,,,,,,,,,
1,NCT01026324,Not PM,,,,,,,,,
